"","date","Antarctic_mass","monthly_average","No_Smoothing","Greenland_mass","extent"
"1",1880,NA,NA,-0.17,NA,NA
"2",1881,NA,NA,-0.09,NA,NA
"3",1882,NA,NA,-0.11,NA,NA
"4",1883,NA,NA,-0.18,NA,NA
"5",1884,NA,NA,-0.28,NA,NA
"6",1885,NA,NA,-0.33,NA,NA
"7",1886,NA,NA,-0.31,NA,NA
"8",1887,NA,NA,-0.36,NA,NA
"9",1888,NA,NA,-0.17,NA,NA
"10",1889,NA,NA,-0.1,NA,NA
"11",1890,NA,NA,-0.35,NA,NA
"12",1891,NA,NA,-0.22,NA,NA
"13",1892,NA,NA,-0.27,NA,NA
"14",1893,NA,NA,-0.32,NA,NA
"15",1894,NA,NA,-0.32,NA,NA
"16",1895,NA,NA,-0.23,NA,NA
"17",1896,NA,NA,-0.11,NA,NA
"18",1897,NA,NA,-0.11,NA,NA
"19",1898,NA,NA,-0.27,NA,NA
"20",1899,NA,NA,-0.18,NA,NA
"21",1900,NA,NA,-0.08,NA,NA
"22",1901,NA,NA,-0.16,NA,NA
"23",1902,NA,NA,-0.28,NA,NA
"24",1903,NA,NA,-0.37,NA,NA
"25",1904,NA,NA,-0.47,NA,NA
"26",1905,NA,NA,-0.26,NA,NA
"27",1906,NA,NA,-0.22,NA,NA
"28",1907,NA,NA,-0.39,NA,NA
"29",1908,NA,NA,-0.43,NA,NA
"30",1909,NA,NA,-0.48,NA,NA
"31",1910,NA,NA,-0.43,NA,NA
"32",1911,NA,NA,-0.44,NA,NA
"33",1912,NA,NA,-0.36,NA,NA
"34",1913,NA,NA,-0.34,NA,NA
"35",1914,NA,NA,-0.15,NA,NA
"36",1915,NA,NA,-0.14,NA,NA
"37",1916,NA,NA,-0.36,NA,NA
"38",1917,NA,NA,-0.46,NA,NA
"39",1918,NA,NA,-0.3,NA,NA
"40",1919,NA,NA,-0.28,NA,NA
"41",1920,NA,NA,-0.27,NA,NA
"42",1921,NA,NA,-0.19,NA,NA
"43",1922,NA,NA,-0.29,NA,NA
"44",1923,NA,NA,-0.27,NA,NA
"45",1924,NA,NA,-0.27,NA,NA
"46",1925,NA,NA,-0.22,NA,NA
"47",1926,NA,NA,-0.11,NA,NA
"48",1927,NA,NA,-0.22,NA,NA
"49",1928,NA,NA,-0.2,NA,NA
"50",1929,NA,NA,-0.36,NA,NA
"51",1930,NA,NA,-0.16,NA,NA
"52",1931,NA,NA,-0.09,NA,NA
"53",1932,NA,NA,-0.15,NA,NA
"54",1933,NA,NA,-0.28,NA,NA
"55",1934,NA,NA,-0.12,NA,NA
"56",1935,NA,NA,-0.2,NA,NA
"57",1936,NA,NA,-0.14,NA,NA
"58",1937,NA,NA,-0.02,NA,NA
"59",1938,NA,NA,0,NA,NA
"60",1939,NA,NA,-0.01,NA,NA
"61",1940,NA,NA,0.13,NA,NA
"62",1941,NA,NA,0.19,NA,NA
"63",1942,NA,NA,0.07,NA,NA
"64",1943,NA,NA,0.09,NA,NA
"65",1944,NA,NA,0.21,NA,NA
"66",1945,NA,NA,0.09,NA,NA
"67",1946,NA,NA,-0.07,NA,NA
"68",1947,NA,NA,-0.02,NA,NA
"69",1948,NA,NA,-0.1,NA,NA
"70",1949,NA,NA,-0.11,NA,NA
"71",1950,NA,NA,-0.17,NA,NA
"72",1951,NA,NA,-0.07,NA,NA
"73",1952,NA,NA,0.01,NA,NA
"74",1953,NA,NA,0.08,NA,NA
"75",1954,NA,NA,-0.13,NA,NA
"76",1955,NA,NA,-0.14,NA,NA
"77",1956,NA,NA,-0.19,NA,NA
"78",1957,NA,NA,0.05,NA,NA
"79",1958,NA,NA,0.06,NA,NA
"80",1958.2027,NA,315.7,NA,NA,NA
"81",1958.2877,NA,317.45,NA,NA,NA
"82",1958.3699,NA,317.51,NA,NA,NA
"83",1958.4548,NA,317.24,NA,NA,NA
"84",1958.537,NA,315.86,NA,NA,NA
"85",1958.6219,NA,314.93,NA,NA,NA
"86",1958.7068,NA,313.2,NA,NA,NA
"87",1958.789,NA,312.43,NA,NA,NA
"88",1958.874,NA,313.33,NA,NA,NA
"89",1958.9562,NA,314.67,NA,NA,NA
"90",1959,NA,NA,0.03,NA,NA
"91",1959.0411,NA,315.58,NA,NA,NA
"92",1959.126,NA,316.48,NA,NA,NA
"93",1959.2027,NA,316.65,NA,NA,NA
"94",1959.2877,NA,317.72,NA,NA,NA
"95",1959.3699,NA,318.29,NA,NA,NA
"96",1959.4548,NA,318.15,NA,NA,NA
"97",1959.537,NA,316.54,NA,NA,NA
"98",1959.6219,NA,314.8,NA,NA,NA
"99",1959.7068,NA,313.84,NA,NA,NA
"100",1959.789,NA,313.33,NA,NA,NA
"101",1959.874,NA,314.81,NA,NA,NA
"102",1959.9562,NA,315.58,NA,NA,NA
"103",1960,NA,NA,-0.03,NA,NA
"104",1960.041,NA,316.43,NA,NA,NA
"105",1960.1257,NA,316.98,NA,NA,NA
"106",1960.2049,NA,317.58,NA,NA,NA
"107",1960.2896,NA,319.03,NA,NA,NA
"108",1960.3716,NA,320.04,NA,NA,NA
"109",1960.4563,NA,319.59,NA,NA,NA
"110",1960.5383,NA,318.18,NA,NA,NA
"111",1960.623,NA,315.9,NA,NA,NA
"112",1960.7077,NA,314.17,NA,NA,NA
"113",1960.7896,NA,313.83,NA,NA,NA
"114",1960.8743,NA,315,NA,NA,NA
"115",1960.9563,NA,316.19,NA,NA,NA
"116",1961,NA,NA,0.06,NA,NA
"117",1961.0411,NA,316.89,NA,NA,NA
"118",1961.126,NA,317.7,NA,NA,NA
"119",1961.2027,NA,318.54,NA,NA,NA
"120",1961.2877,NA,319.48,NA,NA,NA
"121",1961.3699,NA,320.58,NA,NA,NA
"122",1961.4548,NA,319.77,NA,NA,NA
"123",1961.537,NA,318.57,NA,NA,NA
"124",1961.6219,NA,316.79,NA,NA,NA
"125",1961.7068,NA,314.99,NA,NA,NA
"126",1961.789,NA,315.31,NA,NA,NA
"127",1961.874,NA,316.1,NA,NA,NA
"128",1961.9562,NA,317.01,NA,NA,NA
"129",1962,NA,NA,0.03,NA,NA
"130",1962.0411,NA,317.94,NA,NA,NA
"131",1962.126,NA,318.55,NA,NA,NA
"132",1962.2027,NA,319.68,NA,NA,NA
"133",1962.2877,NA,320.57,NA,NA,NA
"134",1962.3699,NA,321.02,NA,NA,NA
"135",1962.4548,NA,320.62,NA,NA,NA
"136",1962.537,NA,319.61,NA,NA,NA
"137",1962.6219,NA,317.4,NA,NA,NA
"138",1962.7068,NA,316.25,NA,NA,NA
"139",1962.789,NA,315.42,NA,NA,NA
"140",1962.874,NA,316.69,NA,NA,NA
"141",1962.9562,NA,317.7,NA,NA,NA
"142",1963,NA,NA,0.05,NA,NA
"143",1963.0411,NA,318.74,NA,NA,NA
"144",1963.126,NA,319.07,NA,NA,NA
"145",1963.2027,NA,319.86,NA,NA,NA
"146",1963.2877,NA,321.38,NA,NA,NA
"147",1963.3699,NA,322.25,NA,NA,NA
"148",1963.4548,NA,321.48,NA,NA,NA
"149",1963.537,NA,319.74,NA,NA,NA
"150",1963.6219,NA,317.77,NA,NA,NA
"151",1963.7068,NA,316.21,NA,NA,NA
"152",1963.789,NA,315.99,NA,NA,NA
"153",1963.874,NA,317.07,NA,NA,NA
"154",1963.9562,NA,318.35,NA,NA,NA
"155",1964,NA,NA,-0.2,NA,NA
"156",1964.041,NA,319.57,NA,NA,NA
"157",1964.1257,NA,320.01,NA,NA,NA
"158",1964.2049,NA,320.74,NA,NA,NA
"159",1964.2896,NA,321.84,NA,NA,NA
"160",1964.3716,NA,322.26,NA,NA,NA
"161",1964.4563,NA,321.89,NA,NA,NA
"162",1964.5383,NA,320.44,NA,NA,NA
"163",1964.623,NA,318.69,NA,NA,NA
"164",1964.7077,NA,316.7,NA,NA,NA
"165",1964.7896,NA,316.87,NA,NA,NA
"166",1964.8743,NA,317.68,NA,NA,NA
"167",1964.9563,NA,318.71,NA,NA,NA
"168",1965,NA,NA,-0.11,NA,NA
"169",1965.0411,NA,319.44,NA,NA,NA
"170",1965.126,NA,320.44,NA,NA,NA
"171",1965.2027,NA,320.89,NA,NA,NA
"172",1965.2877,NA,322.14,NA,NA,NA
"173",1965.3699,NA,322.17,NA,NA,NA
"174",1965.4548,NA,321.87,NA,NA,NA
"175",1965.537,NA,321.21,NA,NA,NA
"176",1965.6219,NA,318.87,NA,NA,NA
"177",1965.7068,NA,317.81,NA,NA,NA
"178",1965.789,NA,317.3,NA,NA,NA
"179",1965.874,NA,318.87,NA,NA,NA
"180",1965.9562,NA,319.42,NA,NA,NA
"181",1966,NA,NA,-0.06,NA,NA
"182",1966.0411,NA,320.62,NA,NA,NA
"183",1966.126,NA,321.6,NA,NA,NA
"184",1966.2027,NA,322.39,NA,NA,NA
"185",1966.2877,NA,323.7,NA,NA,NA
"186",1966.3699,NA,324.08,NA,NA,NA
"187",1966.4548,NA,323.75,NA,NA,NA
"188",1966.537,NA,322.38,NA,NA,NA
"189",1966.6219,NA,320.36,NA,NA,NA
"190",1966.7068,NA,318.64,NA,NA,NA
"191",1966.789,NA,318.1,NA,NA,NA
"192",1966.874,NA,319.78,NA,NA,NA
"193",1966.9562,NA,321.03,NA,NA,NA
"194",1967,NA,NA,-0.02,NA,NA
"195",1967.0411,NA,322.33,NA,NA,NA
"196",1967.126,NA,322.5,NA,NA,NA
"197",1967.2027,NA,323.04,NA,NA,NA
"198",1967.2877,NA,324.42,NA,NA,NA
"199",1967.3699,NA,325,NA,NA,NA
"200",1967.4548,NA,324.09,NA,NA,NA
"201",1967.537,NA,322.54,NA,NA,NA
"202",1967.6219,NA,320.92,NA,NA,NA
"203",1967.7068,NA,319.25,NA,NA,NA
"204",1967.789,NA,319.39,NA,NA,NA
"205",1967.874,NA,320.73,NA,NA,NA
"206",1967.9562,NA,321.96,NA,NA,NA
"207",1968,NA,NA,-0.08,NA,NA
"208",1968.041,NA,322.57,NA,NA,NA
"209",1968.1257,NA,323.15,NA,NA,NA
"210",1968.2049,NA,323.89,NA,NA,NA
